cell_id,sample_id,EGFP_Seq1_hi,dTomato_Seq2_hi,EGFP_dTomato_dual_hi,group
aegfkeca-1,TMA00317,False,False,False,none
aegnleei-1,TMA00317,False,False,False,none
aegpafgg-1,TMA00317,False,False,False,none
aehcjamn-1,TMA00317,False,False,False,none
aehhlabg-1,TMA00317,False,False,False,none
aehmbjch-1,TMA00317,False,False,False,none
aehnmlbf-1,TMA00317,False,False,False,none
aeibgmod-1,TMA00317,False,False,False,none
aeidpndl-1,TMA00317,False,False,False,none
aeiefghl-1,TMA00317,False,False,False,none
aeimflid-1,TMA00317,False,False,False,none
aeipacka-1,TMA00317,False,False,False,none
aejckpld-1,TMA00317,False,False,False,none
aejggfnf-1,TMA00317,False,False,False,none
aejijicd-1,TMA00317,False,False,False,none
aejkbcmo-1,TMA00317,False,False,False,none
aejledfl-1,TMA00317,False,False,False,none
aekbmakc-1,TMA00317,False,False,False,none
aekddlbp-1,TMA00317,False,False,False,none
aekdeiok-1,TMA00317,False,False,False,none
aekffinp-1,TMA00317,False,False,False,none
aekhmhef-1,TMA00317,False,False,False,none
aekjcpjl-1,TMA00317,False,False,False,none
aekommbj-1,TMA00317,False,False,False,none
aekpihli-1,TMA00317,False,False,False,none
aelefnhc-1,TMA00317,False,False,False,none
aelepdnf-1,TMA00317,False,False,False,none
aelfclob-1,TMA00317,False,False,False,none
aelhhgfm-1,TMA00317,False,False,False,none
aeliooom-1,TMA00317,False,False,False,none
aeljbolb-1,TMA00317,False,False,False,none
aelkclbj-1,TMA00317,False,False,False,none
aelkidkp-1,TMA00317,False,False,False,none
aelodfjc-1,TMA00317,False,False,False,none
aelolein-1,TMA00317,False,False,False,none
aelpfoih-1,TMA00317,False,False,False,none
aemencbo-1,TMA00317,False,False,False,none
aemgkdhk-1,TMA00317,False,False,False,none
aemhlemb-1,TMA00317,False,False,False,none
aemnllaj-1,TMA00317,False,False,False,none
aencdafc-1,TMA00317,False,False,False,none
aengefam-1,TMA00317,False,False,False,none
aenhijhh-1,TMA00317,False,False,False,none
aenhnlfh-1,TMA00317,False,False,False,none
aeniepfl-1,TMA00317,False,False,False,none
aeoajhmk-1,TMA00317,False,False,False,none
aeocljbl-1,TMA00317,False,False,False,none
aeoedlpo-1,TMA00317,False,False,False,none
aeoffjia-1,TMA00317,False,False,False,none
aeohmbho-1,TMA00317,False,False,False,none
aeojfcde-1,TMA00317,False,False,False,none
aeologfl-1,TMA00317,False,False,False,none
aeomacfa-1,TMA00317,False,False,False,none
aepdijfj-1,TMA00317,False,False,False,none
aepecbch-1,TMA00317,False,False,False,none
aepeoaim-1,TMA00317,False,False,False,none
aepmonhn-1,TMA00317,False,False,False,none
aepphkpg-1,TMA00317,False,False,False,none
aepphpjd-1,TMA00317,False,False,False,none
afaabfgp-1,TMA00317,False,False,False,none
afacopfi-1,TMA00317,False,False,False,none
afajokhl-1,TMA00317,False,False,False,none
afandkhi-1,TMA00317,False,False,False,none
afbaghci-1,TMA00317,False,False,False,none
afbbhdgg-1,TMA00317,False,False,False,none
afbceakb-1,TMA00317,False,False,False,none
afbdkpjg-1,TMA00317,False,False,False,none
afbdljpp-1,TMA00317,False,False,False,none
afbijbkh-1,TMA00317,False,False,False,none
afbijlec-1,TMA00317,False,False,False,none
afbikkje-1,TMA00317,False,False,False,none
afbjikjl-1,TMA00317,False,False,False,none
afbnehij-1,TMA00317,False,False,False,none
afboafoc-1,TMA00317,False,False,False,none
afccbngd-1,TMA00317,False,False,False,none
afcddbgj-1,TMA00317,False,False,False,none
afcfiahl-1,TMA00317,False,False,False,none
afdakolg-1,TMA00317,False,False,False,none
afdbagan-1,TMA00317,False,False,False,none
afdgndma-1,TMA00317,False,False,False,none
afdichmd-1,TMA00317,False,False,False,none
afdipgpj-1,TMA00317,False,False,False,none
afdjoimm-1,TMA00317,False,False,False,none
afeblpmh-1,TMA00317,False,False,False,none
afefplgh-1,TMA00317,False,False,False,none
afehaeec-1,TMA00317,False,False,False,none
afekfnpl-1,TMA00317,False,False,False,none
afemciho-1,TMA00317,False,False,False,none
afepeojf-1,TMA00317,False,False,False,none
affacmmj-1,TMA00317,False,False,False,none
affafpfn-1,TMA00317,False,False,False,none
affbfbpk-1,TMA00317,False,False,False,none
affbkpje-1,TMA00317,False,False,False,none
affdflkm-1,TMA00317,False,False,False,none
affdhmbm-1,TMA00317,False,False,False,none
affemklg-1,TMA00317,False,False,False,none
affifcbn-1,TMA00317,False,False,False,none
affiooii-1,TMA00317,False,False,False,none
affjgnnj-1,TMA00317,False,False,False,none
afgdlanh-1,TMA00317,False,False,False,none
afgklojn-1,TMA00317,False,False,False,none
afgppkoc-1,TMA00317,False,False,False,none
afhbdpkd-1,TMA00317,False,False,False,none
afhdjjch-1,TMA00317,False,False,False,none
afheobnn-1,TMA00317,False,False,False,none
afhffjao-1,TMA00317,False,False,False,none
afhgkmil-1,TMA00317,False,False,False,none
afhmanff-1,TMA00317,False,False,False,none
afibgbha-1,TMA00317,False,False,False,none
afibhogm-1,TMA00317,False,False,False,none
afichfdh-1,TMA00317,False,False,False,none
afimmilo-1,TMA00317,False,False,False,none
afjcpiib-1,TMA00317,False,False,False,none
afjepgef-1,TMA00317,False,False,False,none
afjmijbc-1,TMA00317,False,False,False,none
afjnhphd-1,TMA00317,False,False,False,none
afjomojl-1,TMA00317,False,False,False,none
afkaijkb-1,TMA00317,False,False,False,none
afkfiloa-1,TMA00317,False,False,False,none
afkhcalj-1,TMA00317,False,False,False,none
afknmdef-1,TMA00317,False,False,False,none
afkobjia-1,TMA00317,False,False,False,none
aflbngff-1,TMA00317,False,False,False,none
aflgiobm-1,TMA00317,False,False,False,none
aflhbbcm-1,TMA00317,False,False,False,none
aflheida-1,TMA00317,False,False,False,none
aflhkkbn-1,TMA00317,False,False,False,none
aflihooh-1,TMA00317,False,False,False,none
aflkhpkc-1,TMA00317,False,False,False,none
aflmeopg-1,TMA00317,False,False,False,none
afmcaneg-1,TMA00317,False,False,False,none
afmdckbb-1,TMA00317,False,False,False,none
afmihnll-1,TMA00317,False,False,False,none
afmpaejl-1,TMA00317,False,False,False,none
afmpghbl-1,TMA00317,False,False,False,none
afnaphbp-1,TMA00317,False,False,False,none
afnbipga-1,TMA00317,False,False,False,none
afncegoa-1,TMA00317,False,False,False,none
afndajdp-1,TMA00317,False,False,False,none
afngkjof-1,TMA00317,False,False,False,none
afnidlhf-1,TMA00317,False,False,False,none
afnjkhbl-1,TMA00317,False,False,False,none
afnonjjp-1,TMA00317,False,False,False,none
afoaecib-1,TMA00317,False,False,False,none
afodjife-1,TMA00317,False,False,False,none
afojoedg-1,TMA00317,False,False,False,none
afokedmf-1,TMA00317,False,False,False,none
afpabmjh-1,TMA00317,False,False,False,none
afpadgek-1,TMA00317,False,False,False,none
afpbmelb-1,TMA00317,False,False,False,none
afpcofcd-1,TMA00317,False,False,False,none
afpehbcl-1,TMA00317,False,False,False,none
afpjanfj-1,TMA00317,False,False,False,none
afppdagh-1,TMA00317,False,False,False,none
afppdmbi-1,TMA00317,False,False,False,none
agaadlgj-1,TMA00317,False,False,False,none
agafadab-1,TMA00317,True,False,False,EGFP_Seq1_hi
agahnjnn-1,TMA00317,False,False,False,none
agaljmpl-1,TMA00317,False,False,False,none
agaocbal-1,TMA00317,False,False,False,none
agaocfnk-1,TMA00317,False,False,False,none
agbgifep-1,TMA00317,False,False,False,none
agbhbmld-1,TMA00317,False,False,False,none
agbldgnm-1,TMA00317,False,False,False,none
agcajakm-1,TMA00317,False,False,False,none
agcdccod-1,TMA00317,False,False,False,none
agcegjma-1,TMA00317,False,False,False,none
agdapbjm-1,TMA00317,False,False,False,none
agdimpjd-1,TMA00317,False,False,False,none
agdjhnlh-1,TMA00317,False,False,False,none
agdpghmc-1,TMA00317,False,False,False,none
ageclada-1,TMA00317,False,False,False,none
ageiddff-1,TMA00317,False,False,False,none
agepjncp-1,TMA00317,False,False,False,none
agfaiogh-1,TMA00317,False,False,False,none
agfbidhp-1,TMA00317,False,False,False,none
agfdkojk-1,TMA00317,False,False,False,none
agfgaggd-1,TMA00317,False,False,False,none
agfhjphm-1,TMA00317,False,False,False,none
aggakobd-1,TMA00317,False,False,False,none
aggbincn-1,TMA00317,False,False,False,none
aggblame-1,TMA00317,False,False,False,none
aggbmdfd-1,TMA00317,False,False,False,none
agghlgoc-1,TMA00317,False,False,False,none
