cell_id,sample_id,neuron_label,EGFP_Seq1_hi,dTomato_Seq2_hi,EGFP_dTomato_dual_hi,group
fjeaooch-1,TMA00318,Nonpeptidergic nociceptors,False,False,False,Nonpeptidergic nociceptors
fjfhccoe-1,TMA00318,Nonpeptidergic nociceptors,False,False,False,Nonpeptidergic nociceptors
fjgnfhcl-1,TMA00318,Nonpeptidergic nociceptors,False,False,False,Nonpeptidergic nociceptors
fjhglimk-1,TMA00318,Nonpeptidergic nociceptors,False,False,False,Nonpeptidergic nociceptors
fjhkpmaf-1,TMA00318,Nonpeptidergic nociceptors,False,False,False,Nonpeptidergic nociceptors
fjmafocp-1,TMA00318,Sst,False,False,False,Sst
fjngcggd-1,TMA00318,Sst,False,False,False,Sst
fjnhagoh-1,TMA00318,Nonpeptidergic nociceptors,False,False,False,Nonpeptidergic nociceptors
fjogamgo-1,TMA00318,Sst,False,False,False,Sst
fjokllgi-1,TMA00318,Nonpeptidergic nociceptors,False,False,False,Nonpeptidergic nociceptors
flaoench-1,TMA00318,Sst,False,False,False,Sst
flbaghpo-1,TMA00318,CGRP-Gamma 1,False,False,False,CGRP-Gamma 1
flbcjiff-1,TMA00318,Nonpeptidergic nociceptors,False,False,False,Nonpeptidergic nociceptors
flbljmoa-1,TMA00318,Nonpeptidergic nociceptors,False,False,False,Nonpeptidergic nociceptors
flbmbhca-1,TMA00318,Nonpeptidergic nociceptors,False,False,False,Nonpeptidergic nociceptors
flbmdagk-1,TMA00318,C-LTMR,False,False,False,C-LTMR
flcofnpi-1,TMA00318,CGRP-Theta,False,False,False,CGRP-Theta
fldcfbgm-1,TMA00318,CGRP-Eta,False,False,False,CGRP-Eta
fldobgmc-1,TMA00318,CGRP-Theta,False,False,False,CGRP-Theta
fldpihdp-1,TMA00318,Nonpeptidergic nociceptors,False,False,False,Nonpeptidergic nociceptors
fleabnfd-1,TMA00318,Nonpeptidergic nociceptors,False,False,False,Nonpeptidergic nociceptors
flecpcpp-1,TMA00318,CGRP-Theta,False,False,False,CGRP-Theta
flfpkjog-1,TMA00318,Nonpeptidergic nociceptors,False,False,False,Nonpeptidergic nociceptors
flgbppei-1,TMA00318,Nonpeptidergic nociceptors,False,False,False,Nonpeptidergic nociceptors
flipifap-1,TMA00318,Nonpeptidergic nociceptors,False,False,False,Nonpeptidergic nociceptors
flknnhlb-1,TMA00318,Nonpeptidergic nociceptors,False,False,False,Nonpeptidergic nociceptors
fllfdhmb-1,TMA00318,Nonpeptidergic nociceptors,False,False,False,Nonpeptidergic nociceptors
flliaiai-1,TMA00318,Abeta-RA-LTMR,False,False,False,Abeta-RA-LTMR
fmlgojej-1,TMA00318,TrpM8,False,False,False,TrpM8
fmoonmjm-1,TMA00318,CGRP-Zeta,False,False,False,CGRP-Zeta
fnodhejn-1,TMA00318,CGRP-Epsilion,False,False,False,CGRP-Epsilion
foadmnpc-1,TMA00318,CGRP-Gamma 1,False,False,False,CGRP-Gamma 1
foadogjj-1,TMA00318,CGRP-Beta,False,False,False,CGRP-Beta
foaemppm-1,TMA00318,CGRP-Gamma 1,False,False,False,CGRP-Gamma 1
foafecca-1,TMA00318,Adelta-LTMR,False,False,False,Adelta-LTMR
foaldobl-1,TMA00318,Adelta-LTMR,False,False,False,Adelta-LTMR
fobbegmi-1,TMA00318,Abeta-Field,False,False,False,Abeta-Field
fobcikan-1,TMA00318,Nonpeptidergic nociceptors,False,False,False,Nonpeptidergic nociceptors
fobgijdb-1,TMA00318,CGRP-Zeta,False,False,False,CGRP-Zeta
focheogd-1,TMA00318,Nonpeptidergic nociceptors,False,False,False,Nonpeptidergic nociceptors
fochofkl-1,TMA00318,Adelta-LTMR,False,False,False,Adelta-LTMR
focibain-1,TMA00318,Nonpeptidergic nociceptors,False,False,False,Nonpeptidergic nociceptors
focikdba-1,TMA00318,Nonpeptidergic nociceptors,False,False,False,Nonpeptidergic nociceptors
fodekpob-1,TMA00318,Nonpeptidergic nociceptors,False,False,False,Nonpeptidergic nociceptors
fodfcefb-1,TMA00318,Abeta-Field,False,False,False,Abeta-Field
fodioipb-1,TMA00318,Abeta-RA-LTMR,False,False,False,Abeta-RA-LTMR
foeeflfg-1,TMA00318,Abeta-Field,False,False,False,Abeta-Field
foeljeik-1,TMA00318,CGRP-Gamma 2,False,False,False,CGRP-Gamma 2
fofnidbi-1,TMA00318,Nonpeptidergic nociceptors,False,False,False,Nonpeptidergic nociceptors
fofpckjn-1,TMA00318,CGRP-Eta,False,False,False,CGRP-Eta
